बुधवार	NN	B	O	O
को	PSP	O	O	O
जबर्दस्त	JJ	O	O	O
रैली	NN	O	O	O
दर्ज	JJ	O	B-MISC	OCC
करने	VM	O	I-MISC	O
के	PSP	O	O	O
बाद	NST	O	O	O
शेयर	XC	O	O	O
बाजार	NNP	O	O	O
में	PSP	O	O	O
आज	NN	O	O	O
गिरावट	NN	O	O	O
के	PSP	O	O	O
साथ	NST	O	O	O
कारोबार	NN	O	O	O
की	PSP	O	O	O
शुरुआत	NN	O	B-MISC	OCC
हुई	VM	O	I-MISC	O
.	SYM	O	O	O
सेंसेक्स	NN	O	O	O
करीब	RB	O	O	O
40	QC	O	O	O
अंकों	NN	O	O	O
की	PSP	O	O	O
गिरावट	NN	O	O	O
के	PSP	O	O	O
साथ	NST	O	O	O
38,130.23	QC	O	O	O
पर	PSP	O	O	O
खुला	VM	O	B-STAT	OCC
और	CC	O	O	O
निफ्टी	NN	O	O	O
की	PSP	O	O	O
ओपनिंग	NN	O	O	O
33	QC	O	O	O
अंक	NN	O	O	O
नीचे	NST	O	O	O
11,280.50	QC	O	O	O
पर	PSP	O	O	O
हुई	VM	O	B-STAT	OCC
.	SYM	O	O	O
शुरुआती	JJ	O	O	O
घंटे	NN	O	O	O
में	PSP	O	O	O
बाजार	NN	O	O	O
लाल	JJ	O	O	O
निशान	NN	O	O	O
पर	PSP	O	O	O
ही	RP	O	O	O
बना	VM	O	B-MISC	OCC
हुआ	VAUX	O	I-MISC	O
है	VAUX	O	I-MISC	O
.	SYM	O	O	O
सुबह	NN	O	O	O
9	QC	O	O	O
बजकर	VM	O	O	O
55	QC	O	O	O
मिनट	NN	O	O	O
पर	PSP	O	O	O
सेंसेक्स	NN	O	O	O
37,986	QC	O	O	O
अंकों	NN	O	O	O
पर	PSP	O	O	O
देखा	VM	O	B-MISC	OCC
गया	VAUX	O	I-MISC	O
और	CC	O	O	O
निफ्टी	NN	O	O	O
0.51	QC	O	O	O
पर्सेंट	NN	O	O	O
की	PSP	O	O	O
गिरावट	NN	O	O	O
के	PSP	O	O	O
साथ	NST	O	O	O
11	QC	O	O	O
,	SYM	O	O	O
255	QC	O	O	O
अंकों	NN	O	O	O
पर	PSP	O	O	O
.	SYM	O	O	O
सेंसेक्स	NN	O	O	O
के	PSP	O	O	O
जिन	DEM	O	O	O
शेयरों	NN	O	O	O
में	PSP	O	O	O
सबसे	INTF	O	O	O
ज्यादा	QF	O	O	O
तेजी	RB	O	B-MISC	OCC
देखी	VM	O	I-MISC	O
गई	VAUX	O	I-MISC	O
उनमें	PRP	O	O	O
भारती	XC	O	O	O
एयरटेल	NNP	O	O	O
,	SYM	O	O	O
रिलायंस	XC	O	O	O
,	SYM	O	O	O
इन्फोसिस	NN	O	O	O
,	SYM	O	O	O
एशियन	XC	O	O	O
पेंट	NN	O	O	O
,	SYM	O	O	O
